                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.0639,                0.88527,                 1.2645,                0.81193,                0.62618,                0.74831,                 0.4481,                  1.432,                 1.1055,                 1.5728,              0.0013936,              0.0013936,              0.0013936
                     52,                 1.0874,                0.84332,                  1.275,                0.81507,                0.69401,                 0.7839,                0.48558,                  1.327,                0.98698,                 1.4926,              0.0013813,              0.0013813,              0.0013813
                     53,                 1.0993,                0.86548,                  1.272,                0.74392,                 0.7377,                0.76566,                0.45227,                 1.3763,                 1.0512,                 1.5356,              0.0013689,              0.0013689,              0.0013689
                     54,                 1.0751,                0.84435,                 1.2658,                0.79218,                0.73502,                0.79666,                0.50167,                 1.3365,                0.97745,                 1.4623,              0.0013565,              0.0013565,              0.0013565
                     55,                 1.0532,                0.81461,                 1.2564,                0.80467,                0.72122,                0.77825,                0.48417,                 1.3377,                0.98006,                  1.517,              0.0013441,              0.0013441,              0.0013441
                     56,                 1.0655,                0.84942,                 1.2661,                0.81205,                0.71553,                0.79425,                0.50465,                 1.2907,                0.99943,                 1.4699,              0.0013318,              0.0013318,              0.0013318
                     57,                 1.0095,                0.79652,                 1.2217,                0.78145,                0.69935,                0.77804,                0.48711,                 1.3167,                0.96328,                  1.465,              0.0013194,              0.0013194,              0.0013194
                     58,                 1.0351,                0.80135,                 1.2245,                0.81502,                0.71924,                0.79808,                0.49931,                 1.3176,                0.95537,                 1.4664,               0.001307,               0.001307,               0.001307
                     59,                 1.0255,                0.81058,                 1.2316,                0.83815,                0.68613,                0.78749,                0.48464,                 1.3326,                0.96453,                  1.489,              0.0012946,              0.0012946,              0.0012946
                     60,                 1.0151,                0.79124,                  1.237,                0.78214,                0.74763,                0.79831,                0.48197,                 1.3638,                0.98003,                 1.5129,              0.0012822,              0.0012822,              0.0012822
                     61,                 1.0164,                0.78628,                 1.2198,                0.83597,                0.70347,                 0.7886,                0.48961,                 1.3489,                 1.0167,                 1.4965,              0.0012699,              0.0012699,              0.0012699
                     62,                0.99202,                0.76148,                 1.2057,                0.80516,                0.74305,                0.80475,                0.49664,                 1.3441,                0.91729,                 1.4923,              0.0012575,              0.0012575,              0.0012575
                     63,                0.99388,                0.76344,                 1.1997,                0.77866,                 0.7491,                0.79859,                0.48959,                 1.3605,                0.97577,                 1.5375,              0.0012451,              0.0012451,              0.0012451
                     64,                0.97395,                0.77134,                 1.1991,                0.77056,                0.73186,                0.78924,                0.47824,                 1.3374,                0.97467,                 1.4969,              0.0012328,              0.0012328,              0.0012328
                     65,                0.95552,                0.73787,                 1.1781,                0.78252,                0.74606,                0.81147,                0.50726,                 1.2919,                0.91656,                 1.4399,              0.0012204,              0.0012204,              0.0012204
                     66,                0.95861,                0.72881,                 1.1758,                0.83051,                0.70189,                0.80668,                0.49241,                 1.3305,                0.93355,                 1.4891,               0.001208,               0.001208,               0.001208
                     67,                0.94905,                0.72787,                 1.1939,                0.80412,                0.76025,                0.81359,                0.50462,                 1.3288,                0.92077,                 1.4942,              0.0011956,              0.0011956,              0.0011956
                     68,                0.96351,                 0.7598,                 1.1912,                0.81534,                0.71451,                 0.8135,                0.50847,                 1.3582,                0.93351,                 1.4929,              0.0011833,              0.0011833,              0.0011833
                     69,                0.96487,                0.73533,                 1.1803,                 0.8072,                0.77261,                0.81799,                0.51228,                 1.2772,                0.89695,                 1.4494,              0.0011709,              0.0011709,              0.0011709
                     70,                0.95966,                0.73713,                 1.1949,                0.83298,                0.69874,                0.80618,                0.49489,                 1.3493,                0.95009,                 1.5087,              0.0011585,              0.0011585,              0.0011585
                     71,                0.93543,                0.71082,                 1.1702,                0.80756,                0.72811,                0.80284,                0.50219,                 1.2697,                 0.9275,                 1.4421,              0.0011461,              0.0011461,              0.0011461
                     72,                0.92817,                0.71609,                 1.1674,                0.79999,                0.76025,                0.81052,                0.50313,                 1.3031,                0.91772,                 1.4791,              0.0011337,              0.0011337,              0.0011337
                     73,                0.92283,                0.71147,                 1.1639,                0.81682,                0.75237,                0.82377,                0.50521,                 1.3197,                0.92754,                 1.4942,              0.0011214,              0.0011214,              0.0011214
                     74,                0.90485,                0.70535,                 1.1688,                0.81986,                0.73941,                 0.8235,                0.51216,                 1.3066,                0.92238,                 1.4792,               0.001109,               0.001109,               0.001109
                     75,                0.92138,                0.70486,                 1.1608,                0.82642,                0.73344,                0.81701,                0.49935,                 1.3581,                0.93381,                 1.5475,              0.0010966,              0.0010966,              0.0010966
                     76,                0.91261,                0.70421,                 1.1614,                0.84735,                0.71136,                0.79392,                0.49962,                 1.2916,                0.94735,                 1.4888,              0.0010842,              0.0010842,              0.0010842
                     77,                0.90218,                0.68341,                  1.158,                0.81258,                 0.7571,                0.81821,                0.51249,                  1.302,                0.92291,                 1.4867,              0.0010719,              0.0010719,              0.0010719
                     78,                0.91241,                 0.6831,                 1.1591,                0.86269,                 0.7135,                 0.8118,                0.50359,                    1.3,                0.90373,                  1.493,              0.0010595,              0.0010595,              0.0010595
                     79,                0.91092,                0.70594,                  1.167,                0.80151,                0.72608,                0.79513,                0.49179,                 1.3351,                 1.0022,                 1.5001,              0.0010471,              0.0010471,              0.0010471
                     80,                0.87765,                0.67443,                 1.1368,                0.82821,                0.72555,                0.82057,                0.51995,                 1.3006,                0.93709,                 1.4782,              0.0010347,              0.0010347,              0.0010347
                     81,                0.87149,                 0.6651,                 1.1403,                0.82001,                0.73298,                0.80816,                0.50198,                 1.3536,                0.94052,                 1.5384,              0.0010224,              0.0010224,              0.0010224
                     82,                0.86118,                0.65236,                 1.1291,                 0.8014,                0.77129,                 0.8124,                 0.5018,                 1.3261,                0.92476,                 1.4977,                0.00101,                0.00101,                0.00101
                     83,                0.88515,                0.66218,                 1.1383,                0.80787,                0.75079,                0.81737,                0.51161,                 1.3082,                 0.9291,                 1.5107,             0.00099763,             0.00099763,             0.00099763
                     84,                0.87327,                0.64707,                 1.1414,                0.79913,                0.73502,                 0.7979,                0.50319,                 1.2864,                0.90698,                 1.4757,             0.00098525,             0.00098525,             0.00098525
                     85,                0.85032,                0.63833,                 1.1205,                0.80421,                0.73209,                0.80417,                 0.4829,                  1.329,                0.96013,                 1.5176,             0.00097287,             0.00097287,             0.00097287
                     86,                0.85908,                0.63904,                 1.1266,                0.79981,                0.73975,                0.82047,                0.50914,                 1.3046,                0.92479,                 1.4701,              0.0009605,              0.0009605,              0.0009605
                     87,                0.84227,                0.62327,                 1.1122,                0.81508,                0.73696,                0.82101,                0.50547,                 1.2866,                0.94365,                 1.4712,             0.00094812,             0.00094812,             0.00094812
                     88,                0.84004,                0.62924,                 1.1223,                0.78442,                0.72713,                0.80119,                0.49107,                 1.3365,                0.96689,                 1.4958,             0.00093575,             0.00093575,             0.00093575
                     89,                0.82482,                0.61516,                  1.109,                0.81693,                0.74763,                0.82543,                0.51434,                 1.3148,                0.89572,                 1.5017,             0.00092338,             0.00092338,             0.00092338
                     90,                0.81615,                0.61249,                 1.1063,                0.80575,                0.76025,                 0.8151,                0.51025,                 1.3076,                0.91028,                  1.491,               0.000911,               0.000911,               0.000911
                     91,                0.83272,                0.61165,                 1.1084,                 0.8274,                0.76183,                0.81931,                 0.5148,                 1.2954,                 0.8937,                  1.469,             0.00089863,             0.00089863,             0.00089863
                     92,                0.81481,                0.60373,                 1.1006,                0.80594,                0.77603,                0.82858,                0.51881,                 1.3428,                0.87385,                  1.513,             0.00088625,             0.00088625,             0.00088625
                     93,                0.80848,                0.59897,                 1.0905,                0.80942,                0.76656,                0.80981,                0.51577,                 1.3081,                0.89264,                 1.4736,             0.00087388,             0.00087388,             0.00087388
                     94,                0.80474,                0.60386,                 1.1052,                 0.8478,                0.74682,                0.83456,                0.52329,                 1.3016,                0.86708,                 1.4836,              0.0008615,              0.0008615,              0.0008615
                     95,                 0.7823,                0.58654,                 1.0835,                 0.8197,                0.75292,                 0.8125,                0.52046,                 1.3152,                0.90337,                 1.4905,             0.00084912,             0.00084912,             0.00084912
                     96,                0.79614,                 0.5897,                 1.0784,                0.83695,                0.73678,                0.83065,                0.52459,                 1.3016,                 0.8702,                 1.4899,             0.00083675,             0.00083675,             0.00083675
                     97,                0.79372,                 0.5789,                 1.0965,                0.82485,                 0.7651,                0.83378,                 0.5269,                 1.2804,                0.86813,                 1.4642,             0.00082438,             0.00082438,             0.00082438
                     98,                 0.7883,                0.58851,                 1.0843,                0.84638,                 0.7224,                0.81431,                0.51223,                 1.2969,                0.90759,                 1.4773,               0.000812,               0.000812,               0.000812
                     99,                0.77453,                0.56503,                 1.0746,                0.78507,                0.74763,                0.80744,                0.51092,                 1.2841,                0.93675,                 1.4641,             0.00079963,             0.00079963,             0.00079963
                    100,                 0.7672,                0.57416,                 1.0732,                0.84532,                0.74921,                0.81783,                0.51522,                 1.2817,                0.86824,                 1.4739,             0.00078725,             0.00078725,             0.00078725
                    101,                0.75665,                0.55674,                 1.0675,                0.83748,                0.73502,                0.81334,                0.51415,                 1.2871,                0.91314,                 1.4707,             0.00077487,             0.00077487,             0.00077487
                    102,                0.75177,                0.57093,                 1.0762,                0.82236,                0.75939,                0.82783,                0.51472,                 1.2842,                0.88096,                 1.5076,              0.0007625,              0.0007625,              0.0007625
                    103,                0.77349,                0.57624,                 1.0688,                0.82281,                0.73659,                0.81415,                0.51548,                 1.3122,                0.91536,                 1.5033,             0.00075013,             0.00075013,             0.00075013
                    104,                0.76449,                0.57722,                  1.081,                0.80058,                 0.7725,                0.81934,                0.51726,                 1.3238,                0.86035,                  1.521,             0.00073775,             0.00073775,             0.00073775
                    105,                0.76086,                0.58358,                 1.0834,                0.80485,                0.73506,                0.80601,                0.50674,                 1.3056,                 0.9071,                 1.5149,             0.00072537,             0.00072537,             0.00072537
                    106,                0.72013,                0.54365,                 1.0564,                0.84933,                0.73795,                0.81946,                0.52796,                 1.2829,                0.89726,                  1.477,               0.000713,               0.000713,               0.000713
                    107,                0.72308,                0.53311,                 1.0502,                 0.8121,                0.76814,                0.82368,                0.52371,                   1.29,                   0.88,                 1.4987,             0.00070063,             0.00070063,             0.00070063
                    108,                0.72001,                0.54171,                 1.0539,                0.81708,                0.72555,                0.80378,                0.51244,                 1.3124,                0.93606,                 1.5102,             0.00068825,             0.00068825,             0.00068825
                    109,                0.72713,                0.53914,                 1.0523,                0.83354,                0.71875,                0.81667,                0.52339,                 1.3157,                0.91047,                 1.5073,             0.00067588,             0.00067588,             0.00067588
                    110,                0.73569,                0.54947,                 1.0511,                0.83228,                0.74763,                0.81391,                0.51384,                 1.2958,                0.89789,                 1.4949,              0.0006635,              0.0006635,              0.0006635
                    111,                 0.7161,                 0.5277,                 1.0402,                0.84124,                0.73817,                0.82653,                0.52279,                 1.2984,                0.88117,                 1.5113,             0.00065113,             0.00065113,             0.00065113
                    112,                0.69249,                 0.5082,                 1.0281,                0.82932,                0.73028,                0.81261,                0.51488,                 1.3212,                0.94559,                 1.5021,             0.00063875,             0.00063875,             0.00063875
                    113,                0.70712,                0.51583,                 1.0408,                 0.8535,                0.71675,                0.82169,                0.52374,                 1.3169,                0.91421,                 1.5254,             0.00062637,             0.00062637,             0.00062637
                    114,                 0.7061,                0.51266,                 1.0387,                0.84437,                0.71882,                0.81392,                0.51915,                 1.3149,                0.92151,                 1.5077,               0.000614,               0.000614,               0.000614
                    115,                 0.7032,                0.51435,                 1.0399,                0.83657,                0.73817,                0.83249,                0.52555,                 1.3197,                0.89442,                 1.5155,             0.00060162,             0.00060162,             0.00060162
                    116,                  0.709,                 0.5159,                 1.0477,                0.81902,                0.74235,                0.81858,                0.51491,                 1.3321,                 0.8956,                 1.5287,             0.00058925,             0.00058925,             0.00058925
                    117,                0.68693,                 0.5171,                 1.0416,                0.81084,                0.75724,                0.82714,                 0.5113,                 1.3304,                0.89165,                 1.5177,             0.00057688,             0.00057688,             0.00057688
