                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.5655,                 1.4927,                 1.7179,                0.62376,                0.50207,                 0.5545,                0.25775,                 1.9321,                 1.8344,                 2.0804,              0.0036269,              0.0036269,              0.0036269
                    106,                 1.5296,                 1.4441,                 1.6856,                0.54411,                0.46497,                0.48831,                0.23193,                 1.9091,                 1.7319,                 2.0125,               0.003565,               0.003565,               0.003565
                    107,                 1.5338,                 1.4458,                 1.6724,                0.57005,                0.51262,                0.55116,                0.27071,                 1.8191,                 1.6971,                 1.9619,              0.0035031,              0.0035031,              0.0035031
                    108,                 1.5467,                 1.4552,                 1.6892,                0.59499,                0.49685,                 0.5401,                0.25707,                 1.9246,                 1.6903,                 2.0254,              0.0034413,              0.0034413,              0.0034413
                    109,                 1.5455,                 1.4339,                 1.6691,                0.55078,                0.52208,                0.53888,                0.25406,                 1.8726,                 1.6493,                 1.9945,              0.0033794,              0.0033794,              0.0033794
                    110,                 1.5127,                 1.4298,                  1.652,                 0.6109,                0.55205,                0.58037,                0.27849,                 1.8402,                 1.6353,                 1.9437,              0.0033175,              0.0033175,              0.0033175
                    111,                 1.5245,                 1.4157,                 1.6531,                0.56552,                0.54259,                 0.5715,                0.27949,                 1.8366,                 1.6099,                 1.9483,              0.0032556,              0.0032556,              0.0032556
                    112,                 1.5002,                 1.3957,                 1.6348,                0.62961,                0.51262,                0.57725,                0.28515,                 1.7973,                 1.6037,                 1.9369,              0.0031938,              0.0031938,              0.0031938
                    113,                 1.4979,                 1.3887,                 1.6508,                0.43607,                0.32019,                0.31194,                0.14185,                 2.3214,                 2.5411,                 2.5625,              0.0031319,              0.0031319,              0.0031319
                    114,                 1.5095,                 1.3755,                 1.6514,                0.47009,                0.31388,                0.28585,                0.12895,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                    115,                 1.4889,                 1.3916,                 1.6411,                0.60143,                0.56151,                0.59631,                0.29117,                 1.8668,                 1.5928,                 1.9725,              0.0030081,              0.0030081,              0.0030081
                    116,                 1.5185,                 1.3904,                 1.6598,                 0.5963,                0.49211,                0.51269,                0.24548,                 1.9578,                 1.7717,                 2.0637,              0.0029462,              0.0029462,              0.0029462
                    117,                 1.4685,                  1.385,                 1.6504,                0.59062,                0.46194,                0.49754,                0.23943,                 2.0333,                 1.8609,                 2.1194,              0.0028844,              0.0028844,              0.0028844
                    118,                  1.488,                 1.3628,                 1.6192,                 0.6055,                0.50946,                0.55896,                0.27623,                 1.8733,                 1.6329,                  1.988,              0.0028225,              0.0028225,              0.0028225
                    119,                 1.4766,                 1.3337,                 1.6058,                0.65197,                0.52681,                0.58922,                0.28313,                  1.866,                 1.5731,                 1.9869,              0.0027606,              0.0027606,              0.0027606
                    120,                 1.4638,                 1.3557,                 1.6248,                0.62166,                 0.5489,                0.59849,                0.28077,                   1.88,                 1.6137,                 2.0057,              0.0026987,              0.0026987,              0.0026987
                    121,                 1.4669,                 1.3509,                 1.6342,                0.64277,                0.55836,                0.60629,                0.28918,                 1.8918,                 1.5697,                 1.9956,              0.0026369,              0.0026369,              0.0026369
                    122,                 1.4599,                 1.3441,                 1.6133,                0.62937,                 0.5347,                0.57888,                0.28813,                 1.8551,                  1.564,                 1.9727,               0.002575,               0.002575,               0.002575
